event_simpleName,comment
PeFileWritten
FileOpenInfo
FileCreateInfo
FileDeleteInfo
OleFileWritten
CriticalFileAccessed
ZipFileWritten
FileRenameInfo
CabFileWritten
FileDetectInfo
OoxmlFileWritten
FileVaultStatus
QuarantinedFileState
AsepFileChangeScanInfo
RansomwareOpenFile
DmpFileWritten
FsPostOpenSnapshotFile
GzipFileWritten
SevenZipFileWritten
TarFileWritten
MachOFileWritten
