event_simpleName
ChannelVersionRequired
CurrentSystemTags
LightningLatencyInfo
SensorHeartbeat
RawBindIP4
ResourceUtilization
FalconServiceStatus
PeVersionInfo
FirmwareRegionMeasured
SpotlightEntityBatch
SpotlightEntityBatchHeader
SpotlightEntitySystemState
ProvisioningChannelVersionRequired
ConfigStateUpdate
EndOfProcess
